건강생활지원센터명,건강생활지원센터 유형,소재지도로명주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,건강증진사업내용,기타이용안내,의사수,간호사수,영양사수,신체활동전문인력수,물리/작업치료사수,사회복지사수,간호조무사수,기타인력현황,건강검진장비현황,체력측정장비현황,운동장비현황,금연사업장비현황,영양사업장비현황,절주사업장비현황,재활사업장비현황,기타보건교육장비현황,감염병예방장비현황,운영기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
별내건강생활지원센터,기본형,"경기도 남양주시 별내3로 64-21, 별내행정복지센터 2층 (별내동)",37.6461661452,127.1218824648,09:00,18:00,토+일+공휴일,신체활동+비만+심뇌혈관,,0,1,1,1,0,0,0,행정인력(1),체성분분석기+혈압계,없음,없음,없음,없음,없음,없음,O,X,031-590-8190,경기도 남양주시 남양주풍양보건소,2025-12-19,B553430,한국건강증진개발원
다산건강생활지원센터,기본형,"경기도 남양주시 다산중앙로 7, 다산행정복지센터 2층",37.613927595,127.1555488974,09:00,18:00,토+일+공휴일,신체활동+비만+영양+만성질환관리,,0,0,1,1,0,0,0,,체성분분석기+혈압계,종합체력기능측정기,없음,없음,식품모형,어린이 음주예방모형+가상음주체험고글,없음,O,X,031-590-8582,경기도 남양주시 남양주보건소,2025-12-19,B553430,한국건강증진개발원
송정건강생활지원센터,기본형,경기도 군포시 송부로 93,37.3172182842,126.9240905053,09:00,18:00,토+일+공휴일,신체활동+만성질환관리+영양,건강원스톱예약제,1,2,1,2,0,0,0,"행정인력(3),환경미화(1)",체성분분석기+혈압계+혈당측정기+고지혈,종합체력기능측정기+체력측정및운동가이드,러닝머신+일립티컬머신+숄더프레스머신+,없음,식단/식품모형+영양프로그램+식품구성자,없음,없음,O,X,031-389-4942,경기도 군포시 보건소,2025-12-19,B553430,한국건강증진개발원
갈매건강생활지원센터,기본형,"경기도 구리시 갈매중앙로80, 3층",37.6314430764,127.1177773667,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+구강+치매+재활+모자보건,어린이건강체험관+원스톱건강체크 예약제,0,4,1,1,1,0,0,치과위생사(1)+임상병리사(1)+기간,혈압계+체온계+신장체중계+체성분분석기,체력측정및운동가이드시스템,입식사이클,없음,염도계+당도계+고혈압+ 당뇨 등 각종,없음,등속성운동기+낙상 위험도 측정기+각근,O,X,031-550-2561,경기도 구리시보건소,2025-12-19,B553430,한국건강증진개발원
오포건강생활지원센터,기본형,경기도 광주시 오포로 884-1 (고산동),37.3690097821,127.232182722,09:00,18:00,토+일+공휴일,재활+신체활동+아토피천식+만성질환관리+모자보건,어린이건강체험관운영+모바일헬스케어+통,0,12,3,1,2,0,1,,체성분분석기+혈압계+신장체중계+당화혈,없음,수력상지저항운동기+좌식사이클+수동상하,폐모형,식단/식품모형,어린이 흡연음주예방모형+가상음주체험고,어깨회전운동기+러닝머신+전동자전거,O,O,031-760-2456,경기도 광주시보건소,2025-12-19,B553430,한국건강증진개발원
철산건강생활지원센터,기본형,"경기도 광명시 시청로 102 (철산동), 4~5층",37.48533692,126.8664737,09:00,18:00,토+일+공휴일,만성질환관리+영양+신체활동+비만,,0,1,1,1,0,0,0,행정인력(3),체성분분석기+ 혈압계+신장체중계+혈당,체력측정 및 운동가이드시스템+보행측정,레그익스텐션+업도미널크런치+백익스텐션,없음,조리실습용장비+영양프로그램,없음,없음,X,X,02-2680-5020,경기도 광명시보건소,2025-12-19,B553430,한국건강증진개발원
소하건강생활지원센터,기본형,"경기도 광명시 소하로 196, 2층",37.4464191906,126.8946876281,09:00,18:00,토+일+공휴일,만성질환관리+영양+신체활동+비만,열린체력단련실 운영,0,1,1,1,0,0,0,행정인력(2),혈압계+자동신장체중계+체성분분석기(체,악력 측정기+체력진단 및 운동 가이드,러닝머신+사이클+체스트프레스+레그익스,없음,조리실습용장비+영양프로그램,없음,없음,X,X,02-2680-7990,경기도 광명시보건소,2025-12-19,B553430,한국건강증진개발원
광명건강생활지원센터,기본형,"경기도 광명시 오리로 1018, 3층",37.4809139156,126.8504732257,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+금연+모자보건+아토피천식,,0,2,0,0,0,0,0,,체성분분석기+신장체중계+혈압계+콜레스,없음,러닝머신,없음,없음,없음,없음,X,X,02-2680-2798,경기도 광명시보건소,2025-12-19,B553430,한국건강증진개발원
과천시건강생활지원센터,동단위형,"경기도 과천시 과천대로7가길 20, 프리즘스퀘어1 B동 지하1층",37.4141764311,126.9806125679,09:00,18:00,토+일+공휴일,금연+신체활동+영양+만성질환관리+모자보건,대사증후군 관리,0,1,1,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+고지혈,앉아서윗몸앞으로굽히기측정기+윗몸일으키,없음,일산화탄소(CO)측정기,식품구성자석보드판,없음,없음,O,X,02-2150-3671,경기도 과천시보건소,2025-12-19,B553430,한국건강증진개발원
덕양건강생활지원센터,기본형,"경기도 고양시 덕양구 은빛로 72, 내일꿈제작소 B동 2층",37.6371263948,126.8360067749,09:00,18:00,토+일+공휴일,절주+영양+신체활동+심뇌혈관질환예방관리,,0,2,1,1,1,0,0,행정인력(1),체성분분석기+혈압계,악력측정기+자전거에르고미터,레그프레스머신+좌식사이클,없음,식품모형+영양프로그램,가상음주체험고글,없음,X,X,031-8075-4823,경기도 고양시 덕양구보건소,2025-12-19,B553430,한국건강증진개발원
고양건강생활지원센터,기본형,"경기도 고양시 덕양구 혜음로 19-11, 고양동종합복지회관 3층",37.7025173052,126.9011966605,09:00,18:00,토+일+공휴일,신체활동+영양+만성질환관리,,0,1,1,1,1,0,0,행정인력(1),체성분분석기+혈압계+콜레스테롤측정기,없음,없음,없음,식단모형,없음,없음,X,X,031-8075-4825,경기도 고양시 덕양구보건소,2025-12-19,B553430,한국건강증진개발원
평창군건강생활지원센터,기본형,강원특별자치도 평창군 진부면 석두산2길 13,37.6372676451,128.5535169744,09:00,18:00,토+일+공휴일,영양+신체활동+금연+심뇌혈관+만성질환관리,방문원격+건강체험관,0,6,0,2,0,0,2,행정인력(4),체성분분석기+신장체중계+혈압계+혈당측,악력측정기+자전거에르고미터,러닝머신+좌식사이클+음파운동기+손마사,일산화탄소측정기+폐활량측정기+니코틴타,염도계+식단/식품모형+영양프로그램+식,가상음주체험고글+음주측정기,없음,O,X,033-336-6128,강원특별자치도 평창군보건의료원,2025-12-19,B553430,한국건강증진개발원
태백시건강생활지원센터,기본형,강원특별자치도 태백시 장성1길 175-1,37.1009078291,129.0090100186,09:00,18:00,토+일+공휴일,심뇌혈관+재활+신체활동+치매+영양+방문,건강상담실 운영,0,2,0,0,0,0,0,,신장체중계+체성분분석기+혈압계+당화혈,체력측정및운동가이드시스템,러닝머신+자전거 운동기,흡연자혈관모형+ 폐비교모형+폐활량측정,없음,없음,슬링+상하지운동기+레그익스텐션머신+레,X,X,033-550-2762,강원특별자치도 태백시보건소,2025-12-19,B553430,한국건강증진개발원
춘천시건강생활지원센터,기본형,강원특별자치도 춘천시 우두하리길 21,37.9018574082,127.7410429629,09:00,18:00,토+일+공휴일,신체활동+만성질환관리+재활+영양+비만,어린이 건강체험관 운영,0,1,1,1,2,0,0,청원경찰(1),체성분분석기+혈압계+콜레스테롤측정기+,종합체력기능측정기,랫풀다운+레그익스텐션+벤치프레스+체스,없음,식품모형+영양프로그램+조리실습용장비+,가상음주체험고글(어린이),프레스머신+숄더 프레스 머신+로타리 ,O,X,033-245-5561,강원특별자치도 춘천시보건소,2025-12-19,B553430,한국건강증진개발원
서원주건강생활지원센터,기본형,강원특별자치도 원주시 지정면 가곡로 75-2,37.3771793737,127.8754203235,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+금연,,0,2,2,1,0,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,종합체력기능측정기,벤치프레스+레그익스텐션머신+숄더프레스,일산화탄소(CO)측정기,염도계+식단/식품모형+식품구성자석보드,없음,없음,O,X,033-737-3721,강원특별자치도 원주시보건소,2025-12-19,B553430,한국건강증진개발원
서부(강릉시)건강생활지원센터,기본형,강원특별자치도 강릉시 선수촌로 139,37.7634807001,128.8695373043,09:00,18:00,토+일+공휴일,모자보건+영양+비만+아토피천식+만성질환관리,어린이 건강체험관+치매환자쉼터,0,5,2,1,2,0,0,,체성분분석기+신장체중계+혈압계+혈당측,없음,없음,흡연자/비흡연자 폐 비교 모형,식단/식품모형+식품구성 자석 보드판+,가상음주체험고글,없음,O,X,033-660-2775,강원특별자치도 강릉시보건소,2025-12-19,B553430,한국건강증진개발원
서면건강생활지원센터,기본형,강원특별자치도 철원군 서면 무금로 48번길 15,38.2443837748,127.4374319284,09:00,18:00,토+일+공휴일,금연+절주+신체활동+영양+비만+구강+심뇌혈관+만성질환관리,건강동아리 회원 수시 모집+ 행복한 ,0,2,0,0,0,1,1,치과위생사(1),체성분분석기+혈압계+혈당측정기+고지혈,자세측정기+보행측정기,없음,일산화탄소(CO)측정기+폐활량측정기+,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+가상음주체험고글,없음,X,X,033-450-5654,강원특별자치도 철원군보건소,2025-12-19,B553430,한국건강증진개발원
북삼건강생활지원센터,기본형,강원특별자치도 동해시 청운로 96,37.4885287262,129.1026734685,09:00,18:00,토+일+공휴일,만성질환관리+금연+신체활동+음주폐해예방,정신건강사업+체력단련실운영,0,3,1,1,0,0,0,행정인력(3)+금연지도사(1),체성분분석기+혈압계+혈당측정기,악력측정기,러닝머신+진동운동기+사이클,일산화탄소측정기+폐활량측정기+흡연자인,염도계+식단/식품모형+영양프로그램,가상음주체험고글,없음,X,X,033-530-2423,강원특별자치도 동해시보건소,2025-12-19,B553430,한국건강증진개발원
북방면건강생활지원센터,기본형,강원특별자치도 홍천군 북방면 상화계2길 17,37.7060341152,127.8542579691,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양,건강플러스마을사업+북방면 건강증진프로,0,1,2,0,1,0,0,행정인력(1),혈압계+혈당측정기+당화혈색소측정기+콜,악력측정기+자전거에르고미터,러닝머신+상하체근력기구+안마의자+좌식,일산화탄소(CO)측정기,염도계+식단/식품모형+영양프로그램,어린이 음주예방모형+가상음주체험고글,없음,O,X,033-430-4132,강원특별자치도 홍천군보건소,2025-12-19,B553430,한국건강증진개발원
동부(강릉시)건강생활지원센터,기본형,강원특별자치도 강릉시 강릉대로 313번길 6,37.7649948171,128.9019204821,09:00,18:00,토+일+공휴일,심뇌혈관+재활+방문,운동실 운영,0,14,1,0,1,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,없음,러닝머신+버터플라이머신+체스트플라이머,없음,없음,없음,재활운동용 러닝머신+공압식 운동기기+,O,X,033-660-2302,강원특별자치도 강릉시보건소,2025-12-19,B553430,한국건강증진개발원
남원주건강생활지원센터,기본형,강원특별자치도 원주시 단관공원길 86,37.3163777493,127.9573872686,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+금연,어린이건강체험관 운영,0,2,1,1,0,0,0,,체성분분석기+혈압계+혈당측정기+당화혈,종합체력기능측정기,스태퍼+좌식사이클,일산화탄소(CO)측정기+흡연자 구강모,염도계+당도계+식단/식품모형+식품구성,어린이 음주예방모형+음주체험고글,없음,O,X,033-737-5205,강원특별자치도 원주시보건소,2025-12-19,B553430,한국건강증진개발원
남부(강릉시)건강생활지원센터,기본형,강원특별자치도 강릉시 성덕포남로 80-22,37.7632348309,128.9188369326,09:00,18:00,토+일+공휴일,만성질환관리+한의약,모바일헬스케어사업+소생활권맞춤형건강증,0,3,1,1,0,0,0,행정인력(1),체성분분석기+혈압계+혈당측정기+당화혈,없음,러닝머신+버터플라이머신+체스트플라이머,없음,식단/식품모형+영양프로그램,없음,없음,O,X,033-660-2483,강원특별자치도 강릉시보건소,2025-12-19,B553430,한국건강증진개발원
남면건강생활지원센터,기본형,강원특별자치도 홍천군 남면 양덕원로 104,37.6186375099,127.7683276302,09:00,18:00,토+일+공휴일,만성질환관리+신체활동+영양+치매+정신건강,건강플러스마을사업+남면 건강증진프로그,0,0,1,0,1,0,1,행정인력(1),체성분분석기+신장체중계+혈압계+혈당측,없음,러닝머신+사이클,없음,염도계+영양프로그램,없음,사이클,O,X,033-430-4116,강원특별자치도 홍천군보건소,2025-12-19,B553430,한국건강증진개발원
